query|answer
how to add seating|1) Jump to the correct office ID on the same window: AAAPCC name.<br>2) Open PNR: *PNR.<br>3) Make sure the segments' status is HK.<br>4) Open the seat map with 4Gx* command, where x is the segment number on which we will select the seat.<br>Example: 4G1*:<br>5) Hover over a specific seat to check its price and inform the customer.<br>6) If the customer is not interested just close this window.<br>7) If the customer would like to proceed with the payment, click on a specific seat to add it to the passenger:<br>We will see the total price for the specific flight.<br>8) Click on SAVE button.<br>9) Close the window.<br>10) Display the Seats list with *B to check their status. It has to be HK or KK:<br>NW - window seat<br>NA - aisle seat<br>Action should be saved in the end with 6your initials, ER<br>IR to refresh the PNR.<br>11) At the same time, if the seat is chargeable, an Air Extra will appear:<br>To open the seat map open PNR Services in graphical mode and choose Air Extras<br>To remove Seating<br>1) Retrieve the list with reserved seats using the command *B.<br>2) The command 4GX1,2 will cancel the seats and the ancillary request for lines 1 and 2 at the same time.<br>Action should be saved in the end with 6your initials, ER.<br>Docs Ref: Sabre GDS Entries
step by step cancel with cancellation protection our product|Step By Step - Cancel with Cancellation Protection *Our Product*<br>1. Open PNR in respective office id, use RT+PNR<br>2. Check Ticket status (O or A) in the ticket line. Use RTTN to open the ticket line. TWD/L1 to open the ticket.<br>3. Check that the original departure time is more than 2hrs. Not applicable for a partially used ticket or for multi PNR when the outbound flight has been used.<br>4. Confirm cancellation of segments with the customer to avoid no show.<br>5. Delete segments: XE1-5 or XE1,3 and then ER to save and IR to double-check.<br>6. Run Modify order with ''Cancellation protection ETG'' reason<br>7. Send cancellation confirmation email from Edvin. First Line Cancellation CXL confirmation CXL protection . The passenger has to download our med. certificate and then upload it to the respective link.<br>8. Make a register errand.<br>*Choose Type: 10.Cancellation Protection and respective Action according to the customer request<br>9. The CR will queue the booking for a refund to BO when a medical certificate is approved in the GDS or through Edvin<br>You can find below how to handle the Cancellation protection for the tickets issued through Farelogix and how to handle the orders where the customer requests cancellation against Xcover (Cover Genius):<br>Farelogix - Lufthansa group << https://etraveligroup.shelf.io/read/e9e9a820-ce0e-4170-a826-42d71524aa86 >><br>Farelogix - American Airlines << https://etraveligroup.shelf.io/read/4e8b8ab8-22c6-4b5c-8023-c5fbd44f0dcc >><br>Farelogix - Olympic / Aegean airlines << https://etraveligroup.shelf.io/read/55f2752c-25fb-4546-bbaf-a7caf3a54b6e >><br>Docs Ref: Step By Step - Cancel with Cancellation Protection _Our Product_
step by step cancel with cancellation protection our product|Step By Step - Cancel with Cancellation Protection *Our Product*<br>1. Open PNR in respective office id. Use *PNR<br>2. Check Ticket status (O or A) in the ticket line. Use *T to open the ticket line. WETR*2 to open the ticket.<br>3. Check that the original departure time is more than 2hrs. Not applicable for a partially used ticket or for multi PNR when the outbound flight has been used.<br>4. Confirm cancellation of segments with the customer to avoid no show.<br>5. Delete segments: X1-5 or X1/3 and then initials+ ER to save and IR to double-check.<br>6. Run Modify order with ''Cancellation protection ETG'' reason<br>7. Send confirmation email from Edvin. First Line Cancellation CXL confirmation CXL protection . Pax has to download our med. certificate and then upload it to the respective link.<br>8. Make a register errand.<br>*Choose Type: 10.Cancellation Protection and respective Action according to the customer request<br>9. The CR will queue the booking for a refund to BO when a medical certificate is approved in the GDS or through Edvin<br>You can find below how to handle the Cancellation protection for the tickets issued through Farelogix and how to handle the orders where the customer requests cancellation against Xcover (Cover Genius):<br>Farelogix - Lufthansa group << https://etraveligroup.shelf.io/read/e9e9a820-ce0e-4170-a826-42d71524aa86 >><br>Farelogix - American Airlines << https://etraveligroup.shelf.io/read/4e8b8ab8-22c6-4b5c-8023-c5fbd44f0dcc >><br>Farelogix - Olympic / Aegean airlines << https://etraveligroup.shelf.io/read/55f2752c-25fb-4546-bbaf-a7caf3a54b6e >><br>Docs Ref: Step By Step - Cancel with Cancellation Protection _Our Product_
handling of cancellation and refund based on original travel time|The paragraph provides information about cancellation and refund.<br>Docs Ref: Tripstack - Air Canada AC Connex
general instruction for cancellation|"To cancel an order, one needs to check if the cancellation request is part of the ""exceptions"" mentioned in the guidelines. If it is not part of the exceptions, then one can proceed with modifying the order and sending the appropriate cancellation confirmation email. The airline allows a refund, the booking needs to be put on the queue to BO, and a cancellation confirmation needs to be sent to the passenger and the airline regarding the refund.<br>Docs Ref: DY Norwegian Portal"
what are steps for voluntary cancellation as per fare rules|The paragraph provides information about the procedure for voluntary cancellation.<br>Docs Ref: Travelfusion - Air Canada AC Connex
what are the important fare rules to check for rebooking|The most important fare rules are:<br>16.PENALTIES<br>11.BLACKOUTS<br>03.SEASONS<br>04.FLIGHT APPL<br>05.ADV RES/TKTG<br>06.MIN STAY<br>07.MAX STAY<br>Docs Ref: Step by Step Instructions - Amadeus
how to rebook a ticket|The paragraph provides information on the procedure for rebooking a flight, including checking for available flights, selecting a new flight, and paying for the rebooking.<br>Docs Ref: Tripstack - Air Canada AC Connex
how to rebook a ticket|"Found possible response for your query. Please refer to the document(s) below<br>To reserve a seat, what is the process mentioned in the paragraph?<br>Answer:<br>To reserve a seat, the process mentioned in the paragraph is to retrieve the PNR in DY Portal, select ""Reserve a seat"", choose a specific seat from the seat map, check the seat's cost and advise the passenger accordingly, send MOTO/payment link to the passenger, create VAN and insert VAN details if customer proceeds with payment, click on ""Confirm seat selection"" and proceed with the payment, send seating confirmation to passengers and register an errand.<br>Docs Ref: DY Norwegian Portal"
how to add seating|The process of adding or changing a seat is explained in how many steps in the provided context?<br>Answer: The process of adding or changing a seat is explained in six steps in the provided context.<br>Docs Ref: Tripstack - Air Canada AC Connex
how to add seating|The process of adding or changing seats is explained in the paragraph.<br>Docs Ref: Tripstack - Air Canada AC Connex
how to add seating|"Found possible response for your query. Please refer to the document(s) below<br>To reserve a seat, what are the steps that need to be followed according to the provided paragraph?<br>Answer: The steps to reserve a seat according to the provided paragraph are:<br>1. Retrieve the PNR in DY Portal.<br>2. Select ""Reserve a seat""<br>3. Choose a specific seat from the seat map.<br>4. Check the seat's cost and advise the passenger accordingly.<br>5. Send MOTO/payment link to the passenger.<br>6. If the customer proceeds with payment, create VAN and insert VAN details.<br>7. Click on ""Confirm seat selection"" and proceed with the payment.<br>8. Send seating confirmation to passengers and register an errand.<br>Docs Ref: DY Norwegian Portal"
how to add seating|"""Travelport GDS Entries<br>How to add Seating<br>1. Jump to correct PCC on the same window: SEM/PCC/AG<br>2. Open pnr: *PNR<br>3. To check if seating addition is possible, select <Assign/Edit Seat Assignment>:<br>or click on the booking class in the segment(s) row:<br>- If it is possible, the seat map will open:<br>4. Select the seats one by one and press <Review><br>On the Review page, you can see the total cost if any.<br>5. Click <Submit> to save the seating SSR<br>6. Close the window.<br>7. Type *SD to check the seating status, it should be only confirmed as KK/HK.<br>8. Type *DAS to re-check the ancillary cost and currency (if needed) that should be paid to the airline to issue the EMD:<br>To remove the seating:<br>To delete a saved seat selection, use the command S.PxSx@ (where Px, x is the number and Sx is the number.<br>Every action should be saved in the end with ER.<br>How to add seating if the seat map does not load graphically due to IT issues--><br>Use the command: SA*S1 where 1 is the segment line<br>And for selecting a specific seat: S.S1/25A.B<br>Format Item - S.<br>Description - Function identifier<br>Format Item - S1/<br>Description - Segment number and mandatory separator<br>Format Item - 25A.B<br>Description - Seat numbers 19A and 19B<br>Note: A hyphen indicates through, and a dot indicates and<br>""<br>Docs Ref: Travelport GDS Entries"
More|Found possible response for your query. Please refer to the document(s) below<br>To rebook an air GDS segment, you need to click on Rebook (SB) or double-click on the air GDS segment in the Itinerary Details section of the Booking File and update the class, flight number, or date of the segment as required and click on Apply changes.<br>Docs Ref: Amadeus Selling Platform Connect - User Guide,Amadeus GDS Entries,Schedule Change Description
step by step cancel with cancellation protection our product|Step By Step - Cancel with Cancellation Protection *Our Product*<br>1. Open PNR in respective office id. Use *PNR<br>2. Check Ticket status (O or A) in the ticket line. Use *T to open the ticket line. WETR*2 to open the ticket.<br>3. Check that the original departure time is more than 2hrs. Not applicable for a partially used ticket or for multi PNR when the outbound flight has been used.<br>4. Confirm cancellation of segments with the customer to avoid no show.<br>5. Delete segments: X1-5 or X1/3 and then initials+ ER to save and IR to double-check.<br>6. Run Modify order with ''Cancellation protection ETG'' reason<br>7. Send confirmation email from Edvin. First Line Cancellation CXL confirmation CXL protection . Pax has to download our med. certificate and then upload it to the respective link.<br>8. Make a register errand.<br>*Choose Type: 10.Cancellation Protection and respective Action according to the customer request<br>9. The CR will queue the booking for a refund to BO when a medical certificate is approved in the GDS or through Edvin<br>You can find below how to handle the Cancellation protection for the tickets issued through Farelogix and how to handle the orders where the customer requests cancellation against Xcover (Cover Genius):<br>Farelogix - Lufthansa group << https://etraveligroup.shelf.io/read/e9e9a820-ce0e-4170-a826-42d71524aa86 >><br>Farelogix - American Airlines << https://etraveligroup.shelf.io/read/4e8b8ab8-22c6-4b5c-8023-c5fbd44f0dcc >><br>Farelogix - Olympic / Aegean airlines << https://etraveligroup.shelf.io/read/55f2752c-25fb-4546-bbaf-a7caf3a54b6e >><br>Docs Ref: Step By Step - Cancel with Cancellation Protection _Our Product_
step for cancel with cancellation protection|Step By Step - Cancel with Cancellation Protection *Our Product*<br>1. Open PNR in respective office id. Use *PNR<br>2. Check Ticket status (O or A) in the ticket line. Use *T to open the ticket line. WETR*2 to open the ticket.<br>3. Check that the original departure time is more than 2hrs. Not applicable for a partially used ticket or for multi PNR when the outbound flight has been used.<br>4. Confirm cancellation of segments with the customer to avoid no show.<br>5. Delete segments: X1-5 or X1/3 and then initials+ ER to save and IR to double-check.<br>6. Run Modify order with ''Cancellation protection ETG'' reason<br>7. Send confirmation email from Edvin. First Line Cancellation CXL confirmation CXL protection . Pax has to download our med. certificate and then upload it to the respective link.<br>8. Make a register errand.<br>*Choose Type: 10.Cancellation Protection and respective Action according to the customer request<br>9. The CR will queue the booking for a refund to BO when a medical certificate is approved in the GDS or through Edvin<br>You can find below how to handle the Cancellation protection for the tickets issued through Farelogix and how to handle the orders where the customer requests cancellation against Xcover (Cover Genius):<br>Farelogix - Lufthansa group << https://etraveligroup.shelf.io/read/e9e9a820-ce0e-4170-a826-42d71524aa86 >><br>Farelogix - American Airlines << https://etraveligroup.shelf.io/read/4e8b8ab8-22c6-4b5c-8023-c5fbd44f0dcc >><br>Farelogix - Olympic / Aegean airlines << https://etraveligroup.shelf.io/read/55f2752c-25fb-4546-bbaf-a7caf3a54b6e >><br>Docs Ref: Step By Step - Cancel with Cancellation Protection _Our Product_
what is the procedure to rebook|"Found possible response for your query. Please refer to the document(s) below<br>To rebook a flight, what should be clicked on in the system?<br>Answer: ""Change Flight"" button should be clicked on in the system to rebook a flight.<br>Docs Ref: Tripstack - Air Canada AC Connex"
how to void|1) Jump to correct PCC on same window: AAApcc name<br>2) Open PNR: *PNR<br>Example:<br>AAA4ZTH<br>*ABCDEF<br>3) Open ticket list for all passengers: *T<br>4) Check if Void is permitted, based on the time of ticket issuance, which is indicated in the time zone of the respective PCC.<br>To check the PCC you are in, use the command W/*pcc<br>Example: W/*56WI<br>56WI E-TRAVEL SA/DE<br>BERLIN, DE<br>You could use T*city 3 letter code (T*ATH) to check and compare the local time both in the issuing PCC and in your timeline.<br>If void is possible:<br>1) Void each ticket with command WVline of the ticket<br>Example: WV2 (where 2 is the line of the ticket)<br>The action must be done twice to confirm it, so please reenter the command you previously used.<br>2) To cancel segments, use the command X segment lines.<br>Example: X1-4<br>Every action should be saved in the end with 6 your signature (initials), and ER.<br>Docs Ref: Sabre GDS Entries
steps to follow when proceeding with change for rebooking|1. Once payment link is paid we do all above steps again<br>2. Save new seats with initials and then ER and then IR to get locator<br>3. Use 7T-A for ticketing element if needed. then initials and ER<br>4. Delete old segments( UC segment): x1-2 and save with initials+er and ir to double check<br>5. Do pricing command again and save it with PQ AND ER.<br>6. Press *pq to be sure that manual pricing mask saved<br>7. Add the email and phone number of pax as SSR CTC lines in the new PNR.<br>Docs Ref: Sabre - Rebooking using Flex and changes not permitted
how does one make use of cancellation protection to cancel a ticket|Step By Step - Cancel with Cancellation Protection *Our Product*<br>1. Open PNR in respective office id, use RT+PNR<br>2. Check Ticket status (O or A) in the ticket line. Use RTTN to open the ticket line. TWD/L1 to open the ticket.<br>3. Check that the original departure time is more than 2hrs. Not applicable for a partially used ticket or for multi PNR when the outbound flight has been used.<br>4. Confirm cancellation of segments with the customer to avoid no show.<br>5. Delete segments: XE1-5 or XE1,3 and then ER to save and IR to double-check.<br>6. Run Modify order with ''Cancellation protection ETG'' reason<br>7. Send cancellation confirmation email from Edvin. First Line Cancellation CXL confirmation CXL protection . The passenger has to download our med. certificate and then upload it to the respective link.<br>8. Make a register errand.<br>*Choose Type: 10.Cancellation Protection and respective Action according to the customer request<br>9. The CR will queue the booking for a refund to BO when a medical certificate is approved in the GDS or through Edvin<br>You can find below how to handle the Cancellation protection for the tickets issued through Farelogix and how to handle the orders where the customer requests cancellation against Xcover (Cover Genius):<br>Farelogix - Lufthansa group << https://etraveligroup.shelf.io/read/e9e9a820-ce0e-4170-a826-42d71524aa86 >><br>Farelogix - American Airlines << https://etraveligroup.shelf.io/read/4e8b8ab8-22c6-4b5c-8023-c5fbd44f0dcc >><br>Farelogix - Olympic / Aegean airlines << https://etraveligroup.shelf.io/read/55f2752c-25fb-4546-bbaf-a7caf3a54b6e >><br>Docs Ref: Step By Step - Cancel with Cancellation Protection _Our Product_
what is process for involuntary rebooking due to force majeur|If a rebooking is involuntary, what is the procedure to follow?<br>Answer: We have to call AC to get new alternatives and also for involuntary reissues. It's important to inform that it is an NDC booking, as they have special agents handling these bookings.<br>Docs Ref: Tripstack - Air Canada AC Connex
step by step cancel with cancellation protection our product|Step By Step - Cancel with Cancellation Protection *Our Product*<br>1. Open PNR in respective office id. Use *PNR<br>2. Check Ticket status (O or A) in the ticket line. Use *T to open the ticket line. WETR*2 to open the ticket.<br>3. Check that the original departure time is more than 2hrs. Not applicable for a partially used ticket or for multi PNR when the outbound flight has been used.<br>4. Confirm cancellation of segments with the customer to avoid no show.<br>5. Delete segments: X1-5 or X1/3 and then initials+ ER to save and IR to double-check.<br>6. Run Modify order with ''Cancellation protection ETG'' reason<br>7. Send confirmation email from Edvin. First Line Cancellation CXL confirmation CXL protection . Pax has to download our med. certificate and then upload it to the respective link.<br>8. Make a register errand.<br>*Choose Type: 10.Cancellation Protection and respective Action according to the customer request<br>9. The CR will queue the booking for a refund to BO when a medical certificate is approved in the GDS or through Edvin<br>You can find below how to handle the Cancellation protection for the tickets issued through Farelogix and how to handle the orders where the customer requests cancellation against Xcover (Cover Genius):<br>Farelogix - Lufthansa group << https://etraveligroup.shelf.io/read/e9e9a820-ce0e-4170-a826-42d71524aa86 >><br>Farelogix - American Airlines << https://etraveligroup.shelf.io/read/4e8b8ab8-22c6-4b5c-8023-c5fbd44f0dcc >><br>Farelogix - Olympic / Aegean airlines << https://etraveligroup.shelf.io/read/55f2752c-25fb-4546-bbaf-a7caf3a54b6e >><br>Docs Ref: Step By Step - Cancel with Cancellation Protection _Our Product_
handling of cancellation and refund based on original travel time|The paragraph provides information about cancellation process and handling based on original travel time.<br>Docs Ref: Tripstack - Air Canada AC Connex
general instruction for cancellation|"To cancel a booking, the user needs to check if the cancellation request is part of the ""exceptions"" and if not, proceed with modifying the order and sending the appropriate cancellation confirmation email. The paragraph provides instructions for cancellation.<br>Docs Ref: DY Norwegian Portal"
general instruction for cancellation|"To cancel a booking, the user needs to check if the cancellation request is part of the ""exceptions"" mentioned in the guidelines. If not, they can proceed with modifying the order and sending the appropriate cancellation confirmation email. To check the cancellation rules, the user can press on cancel and to confirm the cancellation, they can press on the button ""confirm cancellation"". If the airline allows a refund, the user needs to put the booking on the queue to BO, send the cancellation confirmation to the passenger, and send an email to the airline regarding the refund at agentrefund@norwegian.com.<br>Docs Ref: DY Norwegian Portal"
what is process for cancelling one of the two bookings (dupe)|The paragraph provides information about the procedure for cancellation of a booking. The support agent will contact the airline company to cancel the flights and ask them to proceed with a full refund. However, there is no guarantee for the customers to receive the refund.<br>Docs Ref: Travelfusion - Air Canada AC Connex
step by step cancel with cancellation protection our product|Step By Step - Cancel with Cancellation Protection *Our Product*<br>1. Open PNR in respective office id, use RT+PNR<br>2. Check Ticket status (O or A) in the ticket line. Use RTTN to open the ticket line. TWD/L1 to open the ticket.<br>3. Check that the original departure time is more than 2hrs. Not applicable for a partially used ticket or for multi PNR when the outbound flight has been used.<br>4. Confirm cancellation of segments with the customer to avoid no show.<br>5. Delete segments: XE1-5 or XE1,3 and then ER to save and IR to double-check.<br>6. Run Modify order with ''Cancellation protection ETG'' reason<br>7. Send cancellation confirmation email from Edvin. First Line Cancellation CXL confirmation CXL protection . The passenger has to download our med. certificate and then upload it to the respective link.<br>8. Make a register errand.<br>*Choose Type: 10.Cancellation Protection and respective Action according to the customer request<br>9. The CR will queue the booking for a refund to BO when a medical certificate is approved in the GDS or through Edvin<br>You can find below how to handle the Cancellation protection for the tickets issued through Farelogix and how to handle the orders where the customer requests cancellation against Xcover (Cover Genius):<br>Farelogix - Lufthansa group << https://etraveligroup.shelf.io/read/e9e9a820-ce0e-4170-a826-42d71524aa86 >><br>Farelogix - American Airlines << https://etraveligroup.shelf.io/read/4e8b8ab8-22c6-4b5c-8023-c5fbd44f0dcc >><br>Farelogix - Olympic / Aegean airlines << https://etraveligroup.shelf.io/read/55f2752c-25fb-4546-bbaf-a7caf3a54b6e >><br>Docs Ref: Step By Step - Cancel with Cancellation Protection _Our Product_
where can you find more information about the rebooking wizard|More information can be found under the Rebooking wizard folder.<br>Docs Ref: Sabre GDS Entries
what are the steps for rebooking|"To rebook a flight, what is the process that needs to be followed?<br>Answer:<br>To rebook a flight, you need to log in to the portal and retrieve the booking. Then click on ""Change Trip"" and select the new itinerary and travel date. After that, select the new preferred flight and proceed with charging the customer along with the fees (if applicable). Once the customer pays, issue a VAN card and confirm the changes on the next page. Finally, confirm the terms and conditions and proceed to the payment page.<br>Docs Ref: DY Norwegian Portal"
rebook with auto(atc) calculation (rapid reprice)|"How to rebook with Auto-calculation (Rapid Reprice)<br>Preparation:<br>1. Jump to correct office id on same window: SEM/PCC/AG.<br>2. To open pnr: *PNR.<br>3. Check availability. You can find more information on this here. << https://etraveligroup.shelf.io/read/40bd958f-e5b7-4fd7-b115-daf6aa75803f?parentId=67e6c2cc-035f-485d-a6b4-38884f8e1099&view=snippet-view&trigger=title&searchEventId=01GES82QV2N651J8PG3GKWVYWP&source=shelf&DTStep=01GBM90M641T03V7C38K2EG74A >><br>4. Book a seat from the availability request:<br>5. Always use the@MTcommand to check the minimum connection time between two flights. If you encounter any of the errors listed below when performing this command, suggest alternative flights based on the customer's preference.<br>Error message -<br>CONFIRMSEGMENT 03<br>CHECK CONNECTION-SEG 03/04 MCT AT PEK 02:40>DCT/SN76527.<br>6. Do the pricing:<br>Price all segments that the customer intends to use. If they ask to rebook OB and keep IB you have to include in the command new Oubound and old Inbound.<br>Auto-calculation:<br>1. Use the command #RR or select from the TOOLS dropdown menu, please see below:<br>2. The following window will appears, if Rapid Reprice is possible:<br>1 Select the way of pricing:<br>1.1 Price as best buy in same cabin = Best available combination.<br>1.2 Price as booked = Prices current classes.<br>2. All segments (old+new) will be preselected. Make sure you select ONLY the segments you want to keep and price.<br>3. Change fee collection method:<br>3.1 If #RR indicates that EMD is a form of change fee collection then we need to continue with that as it is. The same applies to the tax code.<br>3.2 If nothing is mentioned in the change fee collection method Open the Penalties category in fare rules to check the method change fee collection given by the airline.<br>3.3 For list of tax code please check. << https://etraveligroup.shelf.io/read/40bd958f-e5b7-4fd7-b115-daf6aa75803f?parentId=67e6c2cc-035f-485d-a6b4-38884f8e1099&view=dashboard&trigger=title&component=recently-changed&source=shelf&DTStep=01GFJAM8V6H6NEY98V1PMBBRNS >><br>4. Select Public/Private fares:<br>4.1 If we have a base fare amount shown in the original ticket = Public fare.<br>4.2 If we do not have a shown base fare but IT = Agency Private/NFM Fare.<br>5. Next window is the auto-calculation.<br>5.1 Select the <Total Add collect> It includes fare/tax difference + penalty.<br>5.2 If you select the penalty method as an EMD, it will be visible only in the Change fee box, and must be added to the Total Add Collect, which reflects only the ticket difference.<br>5.3 If the Change Fee is to be collected as tax in the previous picture, the penalty is already included in the Total Add-Collect. While if we selected it to be collected as an EMD, it should be added to the amount in the Total Add-Collect.<br>5.4 Note down if the penalty should be collected as EMD or TAX in case of reissue.<br>5.5 If new taxes are lower than the original ones and therefore residual amount is present which we need to collect as per below instructions.<br>5.6 leave the box ""ignore all residual taxes"" ) always unticked.<br>5.7 if ""Refund Due"" appears instead of""Total Add Collection,""charge the customer the change fee (if applicable) and proceed as usual. Include the refund amount information only in the""Information to Ticketing""section of the rebooking wizard.<br>6. Press <Continue> once payment is received from the customer.<br>6.1 In the next window, select < Issue later >.<br>6.2 Ticketing Modifier:. This is inserted automatically by the system if any. It can be also found in the stored fare mask.<br>7. Check if the fare and flights priced have been filled correctly.<br>7.1 Use *FF to display the filled fares and *FF1 (1 represents the mask that you wish to open) and view in the ticketing line 'FEX'.<br>To remove the segment customer will not use, use the command:<br>X segment number<br>Actions should be saved in the end with ER.<br>After checking all the above, please run the rebooking wizard and place the PNR(s) to ticketing queue to process the reissue.<br>ATT: If the Rapid Reprice does not work or the reissue cost is not guarantee, use the manual calculation instead.<br>Docs Ref: Travelport GDS Entries"
how to book the seats|Booking the seats:<br>2.1) To book seats for one way itinerary with one segment:<br>SS3Q1<br>SS -> Seat Sell<br>3 -> Number of passengers<br>Q -> What booking class (it does not matter at this stage what booking class you choose)<br>1 -> What line the chosen flight is on<br>2.2) To book seats for one way itinerary with multiple segments:<br>SS5LQ1<br>SS -> Seat Sell<br>5 -> Number of persons<br>LQ -> What booking class on first and second segment. (it does not matter at this stage what booking class you choose)<br>1 -> What line the chosen flight is on<br>2.3) To book seats for round trip itinerary (to book outbound and inbound together):<br>SS4QQ2*LL1<br>SS -> Seat Sell<br>4 -> Number of persons<br>QQ -> What booking class on first and second segment on first bound. (it does not matter at this stage what booking class you choose)<br>2 -> What line the chosen flight is on for the first bound.<br>* -> Used to seperate the two entries<br>LL -> What booking class on first and second segment on second bound. (it does not matter at this stage what booking class you choose)<br>11 -> What line the chosen flight is on for the second bound.<br>Docs Ref: Search flights see prices and make new PNR
how to add seating|1) Jump to the correct office ID on the same window: AAAPCC name.<br>2) Open PNR: *PNR.<br>3) Make sure the segments' status is HK.<br>4) Open the seat map with 4Gx* command, where x is the segment number on which we will select the seat.<br>Example: 4G1*:<br>5) Hover over a specific seat to check its price and inform the customer.<br>6) If the customer is not interested just close this window.<br>7) If the customer would like to proceed with the payment, click on a specific seat to add it to the passenger:<br>We will see the total price for the specific flight.<br>8) Click on SAVE button.<br>9) Close the window.<br>10) Display the Seats list with *B to check their status. It has to be HK or KK:<br>NW - window seat<br>NA - aisle seat<br>Action should be saved in the end with 6your initials, ER<br>IR to refresh the PNR.<br>11) At the same time, if the seat is chargeable, an Air Extra will appear:<br>To open the seat map open PNR Services in graphical mode and choose Air Extras<br>To remove Seating<br>1) Retrieve the list with reserved seats using the command *B.<br>2) The command 4GX1,2 will cancel the seats and the ancillary request for lines 1 and 2 at the same time.<br>Action should be saved in the end with 6your initials, ER.<br>Docs Ref: Sabre GDS Entries
how to add seating|"What is the process for adding or changing seats for Air Canada flights?<br>Answer: The process for adding or changing seats for Air Canada flights involves clicking on ""Add/Change Seat,"" selecting the preferred seats, confirming the seat selection, and proceeding with payment using the correct payment cart. Once payment has been received, the confirmed seats cannot be modified.<br>Docs Ref: Tripstack - Air Canada AC Connex"
how to add seating|"Found possible response for your query. Please refer to the document(s) below<br>To reserve a seat, what are the steps that need to be followed as per the given paragraph?<br>Answer: The steps that need to be followed to reserve a seat as per the given paragraph are:<br>1. Retrieve the PNR in DY Portal.<br>2. Select ""Reserve a seat"".<br>3. Choose a specific seat from the seat map.<br>4. Check the seat's cost and advise the passenger accordingly.<br>5. Send MOTO/payment link to the passenger.<br>6. If the customer proceeds with payment, create VAN and insert VAN details.<br>7. Click on ""Confirm seat selection"" and proceed with the payment.<br>8. Send seating confirmation to passengers and register an errand.<br>Docs Ref: DY Norwegian Portal"
how to add seating|"Found possible response for your query. Please refer to the document(s) below<br>To reserve a seat, what are the steps that need to be followed according to the given paragraph?<br>Answer: The steps to reserve a seat are:<br>1. Retrieve the PNR in DY Portal.<br>2. Select ""Reserve a seat"".<br>3. Choose a specific seat from the seat map.<br>4. Check the seat's cost and advise the passenger accordingly.<br>5. Send MOTO/payment link to the passenger.<br>6. If the customer proceeds with payment, create VAN and insert VAN details.<br>7. Click on ""Confirm seat selection"" and proceed with the payment.<br>8. Send seating confirmation to passengers and register an errand.<br>Docs Ref: DY Norwegian Portal"
how to add seating|"Found possible response for your query. Please refer to the document(s) below<br>To add or change a seat, what are the steps that need to be followed?<br>Answer: Click on select the preferred seats, proceed with ""Confirm Seat Selection"" and click ""Confirm"" on the Summary before proceeding with the payment of the service.<br>Docs Ref: Travelfusion - Air Canada AC Connex"
how to add seating|"""Travelport GDS Entries<br>How to add Seating<br>1. Jump to correct PCC on the same window: SEM/PCC/AG<br>2. Open pnr: *PNR<br>3. To check if seating addition is possible, select <Assign/Edit Seat Assignment>:<br>or click on the booking class in the segment(s) row:<br>- If it is possible, the seat map will open:<br>4. Select the seats one by one and press <Review><br>On the Review page, you can see the total cost if any.<br>5. Click <Submit> to save the seating SSR<br>6. Close the window.<br>7. Type *SD to check the seating status, it should be only confirmed as KK/HK.<br>8. Type *DAS to re-check the ancillary cost and currency (if needed) that should be paid to the airline to issue the EMD:<br>To remove the seating:<br>To delete a saved seat selection, use the command S.PxSx@ (where Px, x is the number and Sx is the number.<br>Every action should be saved in the end with ER.<br>How to add seating if the seat map does not load graphically due to IT issues--><br>Use the command: SA*S1 where 1 is the segment line<br>And for selecting a specific seat: S.S1/25A.B<br>Format Item - S.<br>Description - Function identifier<br>Format Item - S1/<br>Description - Segment number and mandatory separator<br>Format Item - 25A.B<br>Description - Seat numbers 19A and 19B<br>Note: A hyphen indicates through, and a dot indicates and<br>""<br>Docs Ref: Travelport GDS Entries"
how to add baggage and other ancillaries|Content - Amadeus GDS Entries<br>How to add Baggage and other Ancillaries<br>Jump to correct office ID, just click on the office ID.<br>To open pnr: RTPNR<br>Then open the catalog by using this command: FXK<br>From here you can choose what type of ancillaries you want to add.<br>Example for baggage:Click on the little box beside the price on the ancillary you want to add. Make sure its possible to be added for all the wanted segments. And then click on and that your request will be added as an SSR element.<br>You must check if the ancillary is turning HK before you charge the customer. Retrieve the SSR lines with command RTG.<br>If the ancillary service is pending with HN status, save with ER and refresh the PNR with IR.<br>To remove the SSR request:<br>If the customer does not pay, remove the SSR request with command XEx where x is the line of the SSR, e.g. XE15 for removing line 15 from the PNR.<br>Every action should be saved in the end with ER<br>Docs Ref: Amadeus GDS Entries
how to add baggage|Baggage is not included in Basic Fares and it is not possible to add baggage, except during the check-in process, but it is not guaranteed.<br>Docs Ref: Tripstack - Air Canada AC Connex
how to add baggage|"To order baggage, what should be done after retrieving the PNR in DY Portal?<br>Answer: After retrieving the PNR in DY Portal, select ""Order baggage"".<br>Docs Ref: DY Norwegian Portal"
